kpi_id,name,description,circle_id,Periodicity,Value_min,Value_max,unit,created_at,updated_at
61,Number of counseling sessions,Total counseling sessions held in a period.,6,Quarterly,0,,sessions,2022-08-14 15:42:24.703858,2022-10-08 15:42:24.703859
62,Active volunteers,Number of active volunteers for Pro Juventute.,6,Daily,0,,people,2022-08-03 15:42:24.703861,2022-02-18 15:42:24.703862
63,Workshops conducted,Total number of workshops conducted.,6,Quarterly,0,,workshops,2022-08-27 15:42:24.703864,2022-05-12 15:42:24.703865
64,Funds raised,Total funds raised in a period.,6,Daily,0,,CHF,2021-07-22 15:42:24.703867,2022-11-29 15:42:24.703868
65,Children reached,Number of children reached through programs.,6,Yearly,0,,children,2020-12-09 15:42:24.703870,2023-09-11 15:42:24.703871
66,Digital literacy programs,Number of digital literacy programs conducted.,6,Monthly,0,,programs,2021-06-27 15:42:24.703873,2022-12-14 15:42:24.703874
67,Community events,Number of community events organized.,6,Daily,0,,events,2022-11-11 15:42:24.703876,2023-03-07 15:42:24.703877
68,Feedback received,Number of feedback entries received from beneficiaries.,6,Monthly,0,,feedbacks,2022-12-26 15:42:24.703879,2022-10-16 15:42:24.703880
69,Outreach programs,Total outreach programs conducted.,6,Quarterly,0,,programs,2022-07-19 15:42:24.703882,2022-12-30 15:42:24.703883
70,Online safety workshops,Number of online safety workshops held.,6,Daily,0,,workshops,2021-08-13 15:42:24.703885,2022-03-17 15:42:24.703886
71,Partnerships formed,Number of new partnerships or collaborations.,6,Monthly,0,,partnerships,2020-09-29 15:42:24.703889,2022-05-20 15:42:24.703890
72,Awareness campaigns,Total awareness campaigns conducted.,6,Yearly,0,,campaigns,2022-06-05 15:42:24.703892,2023-07-24 15:42:24.703893
