target_id,kpi_id,target_value,timeframe,created_at,updated_at
46,46,8000,2024-05-12 16:51:41.686134,2021-12-09 16:51:41.686343,2022-11-05 16:51:41.686407
47,47,10000,2024-03-29 16:51:41.686135,2022-03-04 16:51:41.686344,2022-08-31 16:51:41.686408
48,48,8000,2024-01-06 16:51:41.686136,2021-07-05 16:51:41.686345,2023-03-04 16:51:41.686409
49,49,2000,2023-12-20 16:51:41.686137,2023-08-30 16:51:41.686346,2021-10-01 16:51:41.686410
50,50,800,2023-12-06 16:51:41.686138,2021-07-27 16:51:41.686347,2022-12-02 16:51:41.686410
51,51,100,2024-05-12 16:51:41.686139,2021-01-04 16:51:41.686348,2023-06-22 16:51:41.686411
52,52,200,2023-10-22 16:51:41.686139,2021-03-30 16:51:41.686348,2022-07-11 16:51:41.686412
53,53,80000,2024-04-02 16:51:41.686140,2022-01-19 16:51:41.686349,2023-09-24 16:51:41.686413
54,54,200,2024-07-15 16:51:41.686141,2022-01-16 16:51:41.686350,2022-10-04 16:51:41.686414
55,55,200,2024-03-19 16:51:41.686142,2021-07-28 16:51:41.686351,2023-06-25 16:51:41.686415
56,56,10000,2023-12-26 16:51:41.686143,2021-12-26 16:51:41.686352,2022-08-07 16:51:41.686416
57,57,4000,2024-07-16 16:51:41.686144,2022-02-12 16:51:41.686353,2023-04-25 16:51:41.686416
58,58,400,2024-06-06 16:51:41.686145,2022-10-07 16:51:41.686354,2023-06-06 16:51:41.686417
59,59,8000,2024-05-30 16:51:41.686145,2023-03-07 16:51:41.686355,2022-03-31 16:51:41.686418
60,60,4000,2023-10-03 16:51:41.686146,2020-12-30 16:51:41.686355,2023-03-29 16:51:41.686419
61,61,400,2024-07-19 16:51:41.686147,2022-09-25 16:51:41.686356,2022-10-15 16:51:41.686420
62,62,8000,2024-01-26 16:51:41.686148,2021-03-30 16:51:41.686357,2023-05-04 16:51:41.686421
63,63,8000,2024-08-06 16:51:41.686149,2022-11-18 16:51:41.686358,2022-09-09 16:51:41.686422
64,64,10000,2023-10-29 16:51:41.686150,2021-03-03 16:51:41.686359,2022-07-08 16:51:41.686422
65,65,20000,2024-05-13 16:51:41.686151,2023-02-24 16:51:41.686360,2022-10-30 16:51:41.686423
66,66,100,2024-08-29 16:51:41.686152,2023-01-19 16:51:41.686361,2022-03-22 16:51:41.686424
67,67,20000,2023-12-21 16:51:41.686152,2021-12-15 16:51:41.686362,2021-12-14 16:51:41.686425
68,68,800,2024-06-15 16:51:41.686153,2021-12-20 16:51:41.686363,2021-10-11 16:51:41.686426
69,69,20000,2024-01-13 16:51:41.686154,2020-12-20 16:51:41.686363,2022-04-11 16:51:41.686427
70,70,8000,2024-04-20 16:51:41.686155,2021-10-30 16:51:41.686364,2022-12-19 16:51:41.686427
71,71,8000,2024-05-24 16:51:41.686156,2021-12-13 16:51:41.686365,2023-02-27 16:51:41.686428
72,72,4000,2023-12-01 16:51:41.686157,2021-02-23 16:51:41.686366,2023-03-14 16:51:41.686429
